id,name,score1,score2
664,Student_664,61,69
665,Student_665,58,83
666,Student_666,50,55
667,Student_667,75,98
668,Student_668,95,91
669,Student_669,87,96
670,Student_670,74,64
671,Student_671,76,81
672,Student_672,64,70
673,Student_673,72,54
674,Student_674,78,82
675,Student_675,52,57
676,Student_676,88,81
677,Student_677,53,63
678,Student_678,91,53
679,Student_679,95,98
680,Student_680,72,92
681,Student_681,84,87
682,Student_682,58,56
683,Student_683,55,59
684,Student_684,96,64
685,Student_685,94,53
686,Student_686,76,56
687,Student_687,78,82
688,Student_688,76,62
689,Student_689,69,55
690,Student_690,85,53
691,Student_691,94,70
692,Student_692,57,100
693,Student_693,93,82
694,Student_694,52,79
695,Student_695,61,59
696,Student_696,53,75
697,Student_697,85,60
698,Student_698,97,53
699,Student_699,75,86
700,Student_700,90,76
701,Student_701,99,78
702,Student_702,59,91
703,Student_703,74,88
704,Student_704,56,53
705,Student_705,90,84
706,Student_706,81,90
707,Student_707,51,81
708,Student_708,77,54
709,Student_709,55,61
710,Student_710,73,82
711,Student_711,98,78
712,Student_712,100,79
713,Student_713,85,94
714,Student_714,54,59
715,Student_715,89,70
716,Student_716,95,88
717,Student_717,93,99
718,Student_718,97,50
719,Student_719,86,55
720,Student_720,91,73
721,Student_721,60,99
722,Student_722,91,91
723,Student_723,76,53
724,Student_724,50,78
725,Student_725,61,77
726,Student_726,95,75
727,Student_727,67,63
728,Student_728,60,85
729,Student_729,81,94
730,Student_730,52,65
731,Student_731,92,63
732,Student_732,84,77
733,Student_733,55,74
734,Student_734,72,96
735,Student_735,78,82
736,Student_736,64,98
737,Student_737,62,77
738,Student_738,82,64
739,Student_739,65,70
740,Student_740,81,54
741,Student_741,85,62
742,Student_742,95,55
743,Student_743,64,51
744,Student_744,80,84
745,Student_745,100,51
746,Student_746,52,91
747,Student_747,98,97
748,Student_748,61,95
749,Student_749,50,66
750,Student_750,99,65
751,Student_751,97,97
752,Student_752,70,91
753,Student_753,59,74
754,Student_754,52,68
755,Student_755,84,54
756,Student_756,59,100
757,Student_757,77,74
758,Student_758,56,63
759,Student_759,55,50
760,Student_760,71,88
761,Student_761,75,64
762,Student_762,78,58
763,Student_763,81,75
764,Student_764,82,57
765,Student_765,88,57
766,Student_766,69,62
767,Student_767,54,93
768,Student_768,66,70
769,Student_769,70,59
770,Student_770,65,57
771,Student_771,100,95
772,Student_772,89,72
773,Student_773,54,72
774,Student_774,65,71
775,Student_775,96,99
776,Student_776,75,84
777,Student_777,88,80
778,Student_778,91,67
779,Student_779,81,93
780,Student_780,77,80
781,Student_781,71,78
782,Student_782,57,83
783,Student_783,51,69
784,Student_784,61,77
785,Student_785,52,61
786,Student_786,62,65
787,Student_787,69,60
788,Student_788,97,55
789,Student_789,94,64
790,Student_790,74,69
791,Student_791,82,72
792,Student_792,82,98
793,Student_793,85,90
794,Student_794,60,65
795,Student_795,79,58
796,Student_796,63,76
797,Student_797,96,100
798,Student_798,94,56
799,Student_799,80,64
800,Student_800,85,83
801,Student_801,99,84
802,Student_802,100,98
803,Student_803,54,75
804,Student_804,52,92
805,Student_805,82,56
806,Student_806,62,89
807,Student_807,77,65
808,Student_808,66,63
809,Student_809,99,92
810,Student_810,52,89
811,Student_811,78,91
812,Student_812,53,74
813,Student_813,75,51
814,Student_814,86,96
815,Student_815,73,74
816,Student_816,85,81
817,Student_817,59,60
818,Student_818,91,69
819,Student_819,69,85
820,Student_820,78,55
821,Student_821,83,65
822,Student_822,56,66
823,Student_823,60,63
824,Student_824,86,62
825,Student_825,57,80
826,Student_826,100,79
827,Student_827,74,71
828,Student_828,78,69
829,Student_829,78,98
830,Student_830,88,50
831,Student_831,89,54
832,Student_832,62,55
833,Student_833,65,81
834,Student_834,84,61
835,Student_835,91,51
836,Student_836,55,52
837,Student_837,99,71
838,Student_838,96,54
839,Student_839,87,60
840,Student_840,62,90
841,Student_841,89,93
842,Student_842,69,99
843,Student_843,79,95
844,Student_844,93,78
845,Student_845,52,89
846,Student_846,99,52
847,Student_847,95,59
848,Student_848,88,63
849,Student_849,90,72
850,Student_850,87,83
851,Student_851,53,92
852,Student_852,89,66
853,Student_853,76,66
854,Student_854,65,77
855,Student_855,83,64
856,Student_856,50,89
857,Student_857,88,98
858,Student_858,97,58
859,Student_859,51,74
860,Student_860,57,95
861,Student_861,71,90
862,Student_862,81,74
863,Student_863,50,94
864,Student_864,55,74
865,Student_865,83,72
866,Student_866,87,91
867,Student_867,83,54
868,Student_868,98,94
869,Student_869,65,76
870,Student_870,80,96
871,Student_871,61,98
872,Student_872,65,89
873,Student_873,91,55
874,Student_874,69,98
875,Student_875,62,86
876,Student_876,50,52
877,Student_877,52,88
878,Student_878,70,77
879,Student_879,84,78
880,Student_880,60,63
881,Student_881,97,78
882,Student_882,84,71
883,Student_883,51,74
884,Student_884,86,68
885,Student_885,58,86
886,Student_886,85,66
887,Student_887,84,89
888,Student_888,97,63
889,Student_889,59,80
890,Student_890,71,70
891,Student_891,56,94
892,Student_892,95,57
893,Student_893,94,75
894,Student_894,63,87
895,Student_895,89,68
896,Student_896,66,94
897,Student_897,65,84
898,Student_898,95,78
899,Student_899,50,73
900,Student_900,73,51
901,Student_901,62,86
902,Student_902,97,74
903,Student_903,88,97
904,Student_904,83,59
905,Student_905,51,59
906,Student_906,99,68
907,Student_907,84,68
908,Student_908,69,83
909,Student_909,59,60
910,Student_910,76,63
911,Student_911,60,76
912,Student_912,76,79
913,Student_913,78,69
914,Student_914,52,79
915,Student_915,93,89
916,Student_916,98,75
917,Student_917,71,71
918,Student_918,52,93
919,Student_919,55,98
920,Student_920,51,99
921,Student_921,62,79
922,Student_922,67,93
923,Student_923,63,73
924,Student_924,83,58
925,Student_925,52,66
926,Student_926,74,62
927,Student_927,79,65
928,Student_928,58,50
929,Student_929,50,76
930,Student_930,55,77
931,Student_931,95,96
932,Student_932,91,83
933,Student_933,64,81
934,Student_934,71,51
935,Student_935,78,63
936,Student_936,93,75
937,Student_937,90,99
938,Student_938,94,92
939,Student_939,67,82
940,Student_940,55,69
941,Student_941,56,98
942,Student_942,77,99
943,Student_943,80,79
944,Student_944,100,76
945,Student_945,87,81
946,Student_946,95,87
947,Student_947,86,66
948,Student_948,65,97
949,Student_949,77,67
950,Student_950,85,70
951,Student_951,52,93
952,Student_952,58,54
953,Student_953,51,78
954,Student_954,57,69
955,Student_955,53,68
956,Student_956,85,88
957,Student_957,80,85
958,Student_958,65,95
959,Student_959,56,50
960,Student_960,73,79
961,Student_961,91,50
962,Student_962,53,59
963,Student_963,74,74
964,Student_964,84,77
965,Student_965,67,95
966,Student_966,57,70
967,Student_967,54,75
968,Student_968,59,60
969,Student_969,86,60
970,Student_970,59,55
971,Student_971,83,94
972,Student_972,62,88
973,Student_973,80,65
974,Student_974,70,75
975,Student_975,76,57
976,Student_976,93,65
977,Student_977,83,94
978,Student_978,60,95
979,Student_979,71,71
980,Student_980,54,100
981,Student_981,59,67
982,Student_982,78,83
983,Student_983,66,65
984,Student_984,96,66
985,Student_985,87,76
986,Student_986,94,71
987,Student_987,76,90
988,Student_988,88,55
989,Student_989,83,90
990,Student_990,57,54
991,Student_991,73,59
992,Student_992,57,95
993,Student_993,60,54
994,Student_994,76,76
995,Student_995,65,94
996,Student_996,58,54
997,Student_997,51,74
998,Student_998,65,94
999,Student_999,70,78
1000,Student_1000,100,50
1001,Student_1001,84,53
1002,Student_1002,72,94
1003,Student_1003,100,66
1004,Student_1004,61,73
1005,Student_1005,79,99
1006,Student_1006,57,66
1007,Student_1007,100,71
1008,Student_1008,82,55
1009,Student_1009,84,80
1010,Student_1010,92,56
1011,Student_1011,69,65
1012,Student_1012,50,79
1013,Student_1013,80,61
1014,Student_1014,80,65
1015,Student_1015,82,88
1016,Student_1016,66,91
1017,Student_1017,57,55
1018,Student_1018,50,71
1019,Student_1019,89,96
1020,Student_1020,74,51
1021,Student_1021,62,87
1022,Student_1022,97,66
1023,Student_1023,52,53
1024,Student_1024,96,69
1025,Student_1025,71,50
1026,Student_1026,99,53
1027,Student_1027,63,72
1028,Student_1028,64,89
1029,Student_1029,69,66
1030,Student_1030,98,51
1031,Student_1031,71,61
1032,Student_1032,58,78
1033,Student_1033,72,57
1034,Student_1034,67,76
1035,Student_1035,78,59
1036,Student_1036,69,99
1037,Student_1037,59,52
1038,Student_1038,77,88
1039,Student_1039,57,89
1040,Student_1040,88,72
1041,Student_1041,100,50
1042,Student_1042,85,58
1043,Student_1043,61,82
1044,Student_1044,84,69
1045,Student_1045,83,85
1046,Student_1046,75,93
1047,Student_1047,75,70
1048,Student_1048,78,52
1049,Student_1049,87,78
1050,Student_1050,67,87
1051,Student_1051,95,96
1052,Student_1052,69,91
1053,Student_1053,100,84
1054,Student_1054,60,66
1055,Student_1055,71,59
1056,Student_1056,66,64
1057,Student_1057,73,78
1058,Student_1058,62,82
1059,Student_1059,73,63
1060,Student_1060,93,93
1061,Student_1061,76,65
1062,Student_1062,84,84
1063,Student_1063,72,50
1064,Student_1064,94,66
1065,Student_1065,79,73
1066,Student_1066,67,81
1067,Student_1067,94,83
1068,Student_1068,98,92
1069,Student_1069,56,97
1070,Student_1070,84,87
1071,Student_1071,73,67
1072,Student_1072,92,56
1073,Student_1073,54,94
1074,Student_1074,64,89
1075,Student_1075,90,71
1076,Student_1076,90,99
1077,Student_1077,94,79
1078,Student_1078,78,63
1079,Student_1079,79,54
1080,Student_1080,86,65
1081,Student_1081,97,78
1082,Student_1082,83,68
1083,Student_1083,92,50
1084,Student_1084,64,93
1085,Student_1085,76,76
1086,Student_1086,60,74
1087,Student_1087,74,50
1088,Student_1088,88,71
1089,Student_1089,75,53
1090,Student_1090,82,100
1091,Student_1091,75,77
1092,Student_1092,86,73
1093,Student_1093,91,52
1094,Student_1094,82,74
1095,Student_1095,57,81
1096,Student_1096,52,85
1097,Student_1097,66,72
1098,Student_1098,66,72
1099,Student_1099,58,69
1100,Student_1100,75,77
1101,Student_1101,60,64
1102,Student_1102,75,65
1103,Student_1103,74,72
1104,Student_1104,98,71
1105,Student_1105,64,61
1106,Student_1106,73,79
1107,Student_1107,67,56
1108,Student_1108,83,77
1109,Student_1109,66,55
1110,Student_1110,50,98
1111,Student_1111,80,76
1112,Student_1112,54,97
1113,Student_1113,77,98
1114,Student_1114,83,54
1115,Student_1115,68,74
1116,Student_1116,69,65
1117,Student_1117,73,69
1118,Student_1118,69,64
1119,Student_1119,91,58
1120,Student_1120,77,64
1121,Student_1121,80,99
1122,Student_1122,57,61
1123,Student_1123,50,61
1124,Student_1124,61,73
1125,Student_1125,77,69
1126,Student_1126,96,93
1127,Student_1127,68,60
1128,Student_1128,87,58
1129,Student_1129,55,51
1130,Student_1130,100,90
1131,Student_1131,93,72
1132,Student_1132,55,58
1133,Student_1133,99,95
1134,Student_1134,53,57
1135,Student_1135,91,63
1136,Student_1136,57,84
1137,Student_1137,78,88
1138,Student_1138,74,79
1139,Student_1139,85,94
1140,Student_1140,80,67
1141,Student_1141,59,82
1142,Student_1142,69,85
1143,Student_1143,72,60
1144,Student_1144,87,66
1145,Student_1145,64,82
1146,Student_1146,69,82
1147,Student_1147,96,83
1148,Student_1148,82,69
1149,Student_1149,94,58
1150,Student_1150,73,92
1151,Student_1151,52,75
1152,Student_1152,68,93
1153,Student_1153,87,58
1154,Student_1154,72,79
1155,Student_1155,82,70
1156,Student_1156,95,50
1157,Student_1157,62,84
1158,Student_1158,94,54
1159,Student_1159,95,63
1160,Student_1160,68,52
1161,Student_1161,76,73
1162,Student_1162,62,89
1163,Student_1163,56,80
1164,Student_1164,76,58
1165,Student_1165,78,87
1166,Student_1166,98,87
1167,Student_1167,79,80
1168,Student_1168,52,80
1169,Student_1169,82,66
1170,Student_1170,93,93
1171,Student_1171,66,85
1172,Student_1172,65,74
1173,Student_1173,87,97
1174,Student_1174,67,64
1175,Student_1175,94,94
1176,Student_1176,70,87
1177,Student_1177,78,87
1178,Student_1178,91,56
1179,Student_1179,53,98
1180,Student_1180,68,88
1181,Student_1181,67,82
1182,Student_1182,69,81
1183,Student_1183,62,70
1184,Student_1184,69,84
1185,Student_1185,70,52
1186,Student_1186,64,62
1187,Student_1187,63,87
1188,Student_1188,51,52
1189,Student_1189,73,56
1190,Student_1190,56,87
1191,Student_1191,62,57
1192,Student_1192,89,73
1193,Student_1193,77,84
1194,Student_1194,64,75
1195,Student_1195,95,88
1196,Student_1196,78,79
1197,Student_1197,62,71
1198,Student_1198,68,94
1199,Student_1199,83,58
1200,Student_1200,71,63
1201,Student_1201,74,84
1202,Student_1202,89,51
1203,Student_1203,77,65
1204,Student_1204,66,69
1205,Student_1205,80,91
1206,Student_1206,99,80
1207,Student_1207,70,81
1208,Student_1208,57,64
1209,Student_1209,53,62
1210,Student_1210,65,55
1211,Student_1211,97,62
1212,Student_1212,93,51
1213,Student_1213,52,82
1214,Student_1214,99,76
1215,Student_1215,76,91
1216,Student_1216,66,63
1217,Student_1217,93,92
1218,Student_1218,55,93
1219,Student_1219,70,77
1220,Student_1220,85,58
1221,Student_1221,75,86
1222,Student_1222,63,55
1223,Student_1223,56,97
1224,Student_1224,79,84
1225,Student_1225,64,58
1226,Student_1226,86,74
1227,Student_1227,60,92
1228,Student_1228,83,56
1229,Student_1229,65,59
